"scenario","replicate","method","success","error","positive_definite","condition_number"
"parent_excitation_sparse",21,"one_step_gamma_poisson",TRUE,"",TRUE,39315.9198042925
"parent_excitation_dense",21,"recursive_gamma_poisson",TRUE,"",TRUE,53343.2688157756
"parent_excitation_dense",21,"one_step_gamma_poisson",TRUE,"",TRUE,34429.8035577171
"standard",22,"recursive_gamma_poisson",TRUE,"",TRUE,5121.40793321756
"standard",22,"one_step_gamma_poisson",TRUE,"",TRUE,542.690118761759
"parent_excitation_sparse",22,"recursive_gamma_poisson",TRUE,"",TRUE,44431.2144885727
"parent_excitation_sparse",22,"one_step_gamma_poisson",TRUE,"",TRUE,7001.8533945888
"parent_excitation_dense",22,"recursive_gamma_poisson",TRUE,"",TRUE,29214.1330616904
"parent_excitation_dense",22,"one_step_gamma_poisson",TRUE,"",TRUE,65453.0913406932
"standard",23,"recursive_gamma_poisson",TRUE,"",TRUE,6007.86988009863
"standard",23,"one_step_gamma_poisson",TRUE,"",TRUE,777.757557596183
"parent_excitation_sparse",23,"recursive_gamma_poisson",TRUE,"",TRUE,10069.2331591534
"parent_excitation_sparse",23,"one_step_gamma_poisson",TRUE,"",TRUE,14130.1989718116
"parent_excitation_dense",23,"recursive_gamma_poisson",TRUE,"",TRUE,36538.9799090061
"parent_excitation_dense",23,"one_step_gamma_poisson",TRUE,"",TRUE,29864.3267505544
"standard",24,"recursive_gamma_poisson",TRUE,"",TRUE,3516.48973814017
"standard",24,"one_step_gamma_poisson",TRUE,"",TRUE,1711.08766747754
"parent_excitation_sparse",24,"recursive_gamma_poisson",TRUE,"",TRUE,44112.2792101534
"parent_excitation_sparse",24,"one_step_gamma_poisson",TRUE,"",TRUE,32866.7051404728
"parent_excitation_dense",24,"recursive_gamma_poisson",TRUE,"",TRUE,67029.4603907019
"parent_excitation_dense",24,"one_step_gamma_poisson",TRUE,"",TRUE,65588.9409983974
"standard",25,"recursive_gamma_poisson",TRUE,"",TRUE,8817.396195764
"standard",25,"one_step_gamma_poisson",TRUE,"",TRUE,1180.15637257967
"parent_excitation_sparse",25,"recursive_gamma_poisson",TRUE,"",TRUE,34457.4358568192
"parent_excitation_sparse",25,"one_step_gamma_poisson",TRUE,"",TRUE,36626.0071367564
"parent_excitation_dense",25,"recursive_gamma_poisson",TRUE,"",TRUE,77008.9753836918
"parent_excitation_dense",25,"one_step_gamma_poisson",TRUE,"",TRUE,128536.190402198
"standard",26,"recursive_gamma_poisson",TRUE,"",TRUE,1949.39186045037
"standard",26,"one_step_gamma_poisson",TRUE,"",TRUE,939.652642460858
"parent_excitation_sparse",26,"recursive_gamma_poisson",TRUE,"",TRUE,2083.91876756116
"parent_excitation_sparse",26,"one_step_gamma_poisson",TRUE,"",TRUE,1681.84454676068
"parent_excitation_dense",26,"recursive_gamma_poisson",TRUE,"",TRUE,52142.3509294645
"parent_excitation_dense",26,"one_step_gamma_poisson",TRUE,"",TRUE,47276.0309608514
"standard",27,"recursive_gamma_poisson",TRUE,"",TRUE,4472.99529049483
"standard",27,"one_step_gamma_poisson",TRUE,"",TRUE,510.443286591005
"parent_excitation_sparse",27,"recursive_gamma_poisson",TRUE,"",TRUE,982.936358935294
"parent_excitation_sparse",27,"one_step_gamma_poisson",TRUE,"",TRUE,1172.7648262679
"parent_excitation_dense",27,"recursive_gamma_poisson",TRUE,"",TRUE,8733.6641093033
"parent_excitation_dense",27,"one_step_gamma_poisson",TRUE,"",TRUE,14438.1651930215
"standard",28,"recursive_gamma_poisson",TRUE,"",TRUE,1895.17119445728
"standard",28,"one_step_gamma_poisson",TRUE,"",TRUE,1026.55443651477
"parent_excitation_sparse",28,"recursive_gamma_poisson",TRUE,"",TRUE,15348.8426917534
"parent_excitation_sparse",28,"one_step_gamma_poisson",TRUE,"",TRUE,9480.92635207071
"parent_excitation_dense",28,"recursive_gamma_poisson",TRUE,"",TRUE,179873.459117951
"parent_excitation_dense",28,"one_step_gamma_poisson",TRUE,"",TRUE,96144.774954489
"standard",29,"recursive_gamma_poisson",TRUE,"",TRUE,3180.51400641068
"standard",29,"one_step_gamma_poisson",TRUE,"",TRUE,3424.36607591205
"parent_excitation_sparse",29,"recursive_gamma_poisson",TRUE,"",TRUE,2154.87259238467
"parent_excitation_sparse",29,"one_step_gamma_poisson",TRUE,"",TRUE,3437.38276085649
"parent_excitation_dense",29,"recursive_gamma_poisson",TRUE,"",TRUE,19810.3903448019
"parent_excitation_dense",29,"one_step_gamma_poisson",TRUE,"",TRUE,17841.3766988697
"standard",30,"recursive_gamma_poisson",TRUE,"",TRUE,4411.07161408259
"standard",30,"one_step_gamma_poisson",TRUE,"",TRUE,1949.77524078527
"parent_excitation_sparse",30,"recursive_gamma_poisson",TRUE,"",TRUE,11676.0925020561
"parent_excitation_sparse",30,"one_step_gamma_poisson",TRUE,"",TRUE,3910.94140696915
"parent_excitation_dense",30,"recursive_gamma_poisson",TRUE,"",TRUE,38493.7787052925
"parent_excitation_dense",30,"one_step_gamma_poisson",TRUE,"",TRUE,125565.511180098
"standard",31,"recursive_gamma_poisson",TRUE,"",TRUE,2338.22935035681
"standard",31,"one_step_gamma_poisson",TRUE,"",TRUE,605.801396239296
"parent_excitation_sparse",31,"recursive_gamma_poisson",TRUE,"",TRUE,5280.70007881317
"parent_excitation_sparse",31,"one_step_gamma_poisson",TRUE,"",TRUE,1931.71923710145
"parent_excitation_dense",31,"recursive_gamma_poisson",TRUE,"",TRUE,150723.188697357
"parent_excitation_dense",31,"one_step_gamma_poisson",TRUE,"",TRUE,107429.701852678
"standard",32,"recursive_gamma_poisson",TRUE,"",TRUE,3247.03956062541
"standard",32,"one_step_gamma_poisson",TRUE,"",TRUE,1173.55075010476
"parent_excitation_sparse",32,"recursive_gamma_poisson",TRUE,"",TRUE,44742.3362797677
"parent_excitation_sparse",32,"one_step_gamma_poisson",TRUE,"",TRUE,3818.7360079277
"parent_excitation_dense",32,"recursive_gamma_poisson",TRUE,"",TRUE,13844.7584197505
"parent_excitation_dense",32,"one_step_gamma_poisson",TRUE,"",TRUE,19700.5792059131
"standard",33,"recursive_gamma_poisson",TRUE,"",TRUE,3102.9473208075
"standard",33,"one_step_gamma_poisson",TRUE,"",TRUE,1056.23950815884
"parent_excitation_sparse",33,"recursive_gamma_poisson",TRUE,"",TRUE,49022.9708066982
"parent_excitation_sparse",33,"one_step_gamma_poisson",TRUE,"",TRUE,4149.14419667568
"parent_excitation_dense",33,"recursive_gamma_poisson",TRUE,"",TRUE,40805.7247414256
"parent_excitation_dense",33,"one_step_gamma_poisson",TRUE,"",TRUE,34570.3719360895
"standard",34,"recursive_gamma_poisson",TRUE,"",TRUE,1712.76320651185
"standard",34,"one_step_gamma_poisson",TRUE,"",TRUE,472.98365504306
"parent_excitation_sparse",34,"recursive_gamma_poisson",TRUE,"",TRUE,40916.8329926594
"parent_excitation_sparse",34,"one_step_gamma_poisson",TRUE,"",TRUE,2964.38417199365
"parent_excitation_dense",34,"recursive_gamma_poisson",TRUE,"",TRUE,3479.11742072229
"parent_excitation_dense",34,"one_step_gamma_poisson",TRUE,"",TRUE,3866.94972082455
"standard",35,"recursive_gamma_poisson",TRUE,"",TRUE,9096.18793772249
"standard",35,"one_step_gamma_poisson",TRUE,"",TRUE,1558.56020361444
"parent_excitation_sparse",35,"recursive_gamma_poisson",TRUE,"",TRUE,2090.42784913433
"parent_excitation_sparse",35,"one_step_gamma_poisson",TRUE,"",TRUE,1420.70400214673
"parent_excitation_dense",35,"recursive_gamma_poisson",TRUE,"",TRUE,3476.92080955118
"parent_excitation_dense",35,"one_step_gamma_poisson",TRUE,"",TRUE,3558.59551912741
"standard",36,"recursive_gamma_poisson",TRUE,"",TRUE,4266.62946811268
"standard",36,"one_step_gamma_poisson",TRUE,"",TRUE,1401.42859721224
"parent_excitation_sparse",36,"recursive_gamma_poisson",TRUE,"",TRUE,28235.7110913419
"parent_excitation_sparse",36,"one_step_gamma_poisson",TRUE,"",TRUE,15001.4019979971
"parent_excitation_dense",36,"recursive_gamma_poisson",TRUE,"",TRUE,40736.7805888714
"parent_excitation_dense",36,"one_step_gamma_poisson",TRUE,"",TRUE,137372.684827708
"standard",37,"recursive_gamma_poisson",TRUE,"",TRUE,4818.66477826765
"standard",37,"one_step_gamma_poisson",TRUE,"",TRUE,1242.84442608884
"parent_excitation_sparse",37,"recursive_gamma_poisson",TRUE,"",TRUE,2364.56284674869
