"regime","replicate","curve_rmse","coverage_at_80","error_at_80","width_at_80","robust_weight"
"correct_full_50",11,0.0582081050788454,TRUE,0.0724420376215394,0.195579636058521,NA
"correct_full_800",11,0.0222093781201777,TRUE,-0.00317818466954581,0.06497669659359,NA
"weak",11,0.0669917172870179,TRUE,0.0965253366626726,0.23397624385281,NA
"correct_full_200",12,0.127509938893801,FALSE,0.130899722681999,0.215036526008874,NA
"correct_full_50",12,0.288381656722556,FALSE,0.306818475815827,0.400889392617474,NA
"correct_full_800",12,0.0551687874152576,TRUE,0.035399780521564,0.0896650319329256,NA
"weak",12,0.324490944618838,FALSE,0.346164588530412,0.269542410447505,NA
"biased_full_800",13,0.108215491433024,FALSE,0.147234427772054,0.0948178367572365,NA
"biased_robust_800",13,0.107777747814904,FALSE,0.149093236847996,0.0980009352332272,0.986685291622647
"correct_full_200",13,0.0801332995421009,FALSE,0.0901104728318858,0.205454888702424,NA
"correct_full_50",13,0.116393032272208,FALSE,0.189315703819709,0.285552370637869,NA
"correct_full_800",13,0.0762366441829289,TRUE,0.0247754259852239,0.0837087900969329,NA
"weak",13,0.167214517521834,FALSE,0.241264912298162,0.288726010552194,NA
"biased_full_800",14,0.078275879594413,FALSE,0.0983085168872244,0.0804085906492872,NA
"biased_robust_800",14,0.113585935911865,TRUE,0.074474223863518,0.189620296392323,0.71007594524947
"correct_full_200",14,0.241654358048082,TRUE,-0.0312512192840146,0.110587386667962,NA
"correct_full_50",14,0.179092505456463,TRUE,0.040611422443783,0.165856153594714,NA
"correct_full_800",14,0.123012020078651,TRUE,0.00336295804514164,0.0696364212427639,NA
"weak",14,0.216872143867193,TRUE,0.0186282042162745,0.206308532644507,NA
"biased_full_800",15,0.169527392435676,FALSE,0.135499200444562,0.0886096208087178,NA
"biased_robust_800",15,0.170566049212661,FALSE,0.135129723103769,0.0879225302519936,0.996457947381582
"correct_full_200",15,0.166522706466024,FALSE,0.120428100800443,0.169990167165687,NA
"correct_full_50",15,0.192551732414877,FALSE,0.125164228321879,0.260111140307662,NA
"correct_full_800",15,0.0506717986304105,TRUE,0.0217978802567045,0.0716364517642267,NA
"weak",15,0.219871637257039,FALSE,0.180931465141137,0.277755917932807,NA
"biased_full_800",16,0.227670712836882,FALSE,0.0905039886096264,0.0747811891775694,NA
"biased_robust_800",16,0.107272430558103,TRUE,-0.0283040175332427,0.20995839129649,0.186735359979447
"correct_full_200",16,0.160600021634391,TRUE,0.00576736258318067,0.0996392825593104,NA
"correct_full_50",16,0.179992697160487,TRUE,0.00473567551561008,0.129157261189395,NA
"correct_full_800",16,0.165207941982364,TRUE,-0.00801611696250512,0.05927576035921,NA
"weak",16,0.0867584230456457,TRUE,-0.0525491236563091,0.125074717239026,NA
"biased_full_800",17,0.106174317177261,FALSE,0.120975613801807,0.0791127409156249,NA
"biased_robust_800",17,0.308291248394959,FALSE,-0.0990167077205669,0.134267729875038,0.00104171781644775
