"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","transitions","prior_regime"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.35667624351818,0.0253903949984557,1.30542016337045,1.35714766938467,1.40556701274863,FALSE,0.873048025007721,4.09262144323205,1.01019229853506,291.362227389931,2,"informative"
"survival_at_80",0.36,0.36,0.3,0.367275008794132,0.0342940155682911,0.30312294043137,0.366620370852875,0.438359660166054,TRUE,0.885686614772363,0.212136393874479,1.00622624425045,257.401944296335,4,"informative"
"survival_slope_20",0.64,0.64,0.2,0.626411179128192,0.0256120262076716,0.576270348232859,0.627085382437255,0.672908898194099,TRUE,0.871939868961642,-0.530564070238907,1.01056718064096,337.549296538641,4,"informative"
"growth_increment_80",8.4,8.4,2,7.9283385543044,0.303013757638152,7.29597349293793,7.93682222879142,8.47344295570942,TRUE,0.848493121180924,-1.55656775907462,1.01787551815454,287.755304999271,4,"informative"
"growth_slope_20",-2.4,-2.4,1,-2.3732778628483,0.123452775392781,-2.6179757180253,-2.37779066214133,-2.11605622830821,TRUE,0.876547224607219,0.216456349941751,1.00586719636612,241.069477114473,4,"informative"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.53648365542353,0.0767529667676739,1.38146199493049,1.53601654654012,1.68082285713938,TRUE,0.61623516616163,0.422215062322584,1.01655775596874,241.958374825988,4,"informative"
"log_recruitment_at_80",-1.69314718055995,-1.69314718055995,0.3,-1.69685584379745,0.147328967273662,-2.02328032646454,-1.68362512154771,-1.43017551386463,TRUE,0.508903442421127,-0.0251726683905484,1.03087497641851,209.833226232619,4,"informative"
"recruitment_slope_20",1.5,1.5,0.3,1.56649869765767,0.084624464100899,1.41224434348578,1.56265919890308,1.74413164538427,TRUE,0.717918452997003,0.785809379878413,1.02954625831246,201.240145345316,4,"informative"
"recruit_mean_80",44.6,44.6,2,44.1792927338801,0.481228356192877,43.2270322026527,44.1975779276066,45.1046226351317,TRUE,0.759385821903561,-0.874236234639742,1.00543690784992,356.704400670087,4,"informative"
"recruit_mean_slope_20",0.4,0.4,0.5,0.607869014503586,0.240457512414205,0.134991349149336,0.606960939537268,1.06934914249071,TRUE,0.51908497517159,0.864472947493181,1.00594073432317,323.880733164576,4,"informative"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.33521129111742,0.0197654350172153,1.29308817476144,1.33593562022431,1.37325335930712,FALSE,0.901172824913924,4.17133862979721,1.00646140053535,235.732662449717,4,"informative"
"survival_at_80",0.36,0.36,0.3,0.352818506386223,0.0218557831516116,0.309095974208271,0.352463708334853,0.394324806662971,TRUE,0.927147389494628,-0.328585508190638,1.00692779144043,277.617101568547,8,"informative"
"survival_slope_20",0.64,0.64,0.2,0.603728480272223,0.0132127267967202,0.577909648733739,0.603341208129887,0.630778916429598,FALSE,0.933936366016399,-2.74519561978532,1.00332984839166,343.083794563417,8,"informative"
"growth_increment_80",8.4,8.4,2,8.07139725394199,0.175966987204682,7.73025464171842,8.06651374200028,8.42038997803561,TRUE,0.912016506397659,-1.86741133253468,1.00535011228831,314.365618223714,8,"informative"
"growth_slope_20",-2.4,-2.4,1,-2.38231217843977,0.0687380113935516,-2.51817259176611,-2.3791484789589,-2.25067799460776,TRUE,0.931261988606448,0.257322276301491,1.00217166894585,375.57368568457,8,"informative"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.58699156686429,0.0449805013888255,1.49610074594253,1.58676972435471,1.67421069139008,TRUE,0.775097493055872,1.84333583503847,1.01419684580175,281.132343411897,8,"informative"
"log_recruitment_at_80",-1.69314718055995,-1.69314718055995,0.3,-1.48711818687481,0.0780340053032271,-1.64795532457528,-1.48512370099696,-1.33511869701292,FALSE,0.739886648989243,2.64024629883522,1.00789747451975,320.508675951561,8,"informative"
"recruitment_slope_20",1.5,1.5,0.3,1.45274797059183,0.0448783213892493,1.36474548837164,1.45271025962887,1.54085363986094,TRUE,0.850405595369169,-1.05289208565383,1.008167309769,334.87736577752,8,"informative"
"recruit_mean_80",44.6,44.6,2,44.5020882147874,0.257198880316392,43.9901690937158,44.5038152415014,44.9962088308262,TRUE,0.871400559841804,-0.380685114539265,1.01002049739484,280.531462943194,8,"informative"
"recruit_mean_slope_20",0.4,0.4,0.5,0.44996163483201,0.114209492434034,0.225965490458748,0.452705171733067,0.674934834154119,TRUE,0.771581015131931,0.437456062252157,1.00951641465306,291.431294625968,8,"informative"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.32638259091679,0.0116639888783552,1.30345335914261,1.32622229183354,1.34894101454321,FALSE,0.941680055608224,6.31170204200392,1.01012602893118,245.798403155501,8,"informative"
"survival_at_80",0.36,0.36,0.3,0.356764227632128,0.0184431666754096,0.321876000961725,0.356575462797137,0.395172072524947,TRUE,0.938522777748635,-0.175445595912025,1.02737164205847,301.689038188302,12,"informative"
"survival_slope_20",0.64,0.64,0.2,0.632974048166343,0.00921959186909347,0.614418354365806,0.633243973098393,0.650618437326785,TRUE,0.953902040654533,-0.762067554986853,1.01271592066139,336.125481719091,12,"informative"
"growth_increment_80",8.4,8.4,2,8.07141451934202,0.145600030079474,7.77347921473883,8.07377677332665,8.34955261360252,FALSE,0.927199984960263,-2.25676794488726,1.01979192379718,309.26254772472,12,"informative"
"growth_slope_20",-2.4,-2.4,1,-2.33173894561925,0.0517023003236419,-2.43349940303249,-2.33087069389689,-2.22908640160227,TRUE,0.948297699676358,1.32027112823719,1.01147760667384,319.19644452138,12,"informative"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.56951908326068,0.034180749375516,1.49934510939872,1.57023670418056,1.63444607185008,TRUE,0.82909625312242,1.91457728926443,1.02046234597526,307.839236980471,12,"informative"
"log_recruitment_at_80",-1.69314718055995,-1.69314718055995,0.3,-1.46078577828141,0.0598553068869922,-1.58554106860855,-1.46064270379256,-1.34677348575465,FALSE,0.800482310376693,3.88205180732322,1.00941532000372,248.978717109622,12,"informative"
"recruitment_slope_20",1.5,1.5,0.3,1.42919522707315,0.0332609680577304,1.36580795381111,1.42853116733221,1.49634668253656,FALSE,0.889130106474232,-2.12876464701665,1.01066351168512,257.626214149046,12,"informative"
"recruit_mean_80",44.6,44.6,2,44.643388719453,0.177220296776518,44.2899880339654,44.6398178523617,44.9848523402621,TRUE,0.911389851611741,0.244829290110559,1.01039517607876,356.520973885683,12,"informative"
"recruit_mean_slope_20",0.4,0.4,0.5,0.390028553495971,0.071553354113841,0.24978539907652,0.389200512564191,0.540464466499788,TRUE,0.856893291772318,-0.139356800635296,1.01282584977714,340.312146546976,12,"informative"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.31287861117726,0.00839695143961544,1.29575394833687,1.31311020284685,1.32858963913079,FALSE,0.958015242801923,7.15922238138476,1.00093223957703,359.129602008361,12,"informative"
"survival_at_80",0.36,1.11,0.3,0.396562258602519,0.0669744283311466,0.269212831607533,0.391470434689071,0.53898837979086,TRUE,0.776751905562845,0.545913709359958,1.13210502239019,45.6498395130055,2,"informative_wrong"
"survival_slope_20",0.64,0.64,0.2,0.692098579220577,0.0468477516518274,0.60347457478589,0.690980246211983,0.781829951072322,TRUE,0.765761241740863,1.11208280832289,1.03538968613734,143.041963066119,2,"informative_wrong"
"growth_increment_80",8.4,5.4,2,7.73700507776549,0.452196558913796,6.55041706933636,7.78362507478667,8.45751109719966,TRUE,0.773901720543102,-1.4661653415211,1.30544412484974,25.3274276267617,2,"informative_wrong"
"growth_slope_20",-2.4,-2.4,1,-2.43080548749982,0.188492196296643,-2.73770536022062,-2.45096525607235,-1.98168826939861,TRUE,0.811507803703357,-0.16343110274623,1.15065187782471,38.7801233903229,2,"informative_wrong"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.59310355380081,0.0981843637461561,1.40654453182515,1.59095981413694,1.7822756170969,TRUE,0.509078181269219,0.90672438693704,1.03418370352122,197.406073391933,2,"informative_wrong"
"log_recruitment_at_80",-1.69314718055995,-0.943147180559945,0.3,-1.35736063723229,0.174794744420353,-1.69251020556903,-1.34023087287863,-1.02154460149462,FALSE,0.417350851932157,1.92103340658886,1.02013742535133,196.494297872352,2,"informative_wrong"
"recruitment_slope_20",1.5,1.5,0.3,1.34435803974437,0.125891481108497,1.07460268832123,1.33746628793768,1.57623924464971,TRUE,0.580361729638343,-1.23631844573732,1.01765064388925,187.682860533583,2,"informative_wrong"
"recruit_mean_80",44.6,44.6,2,45.2703031641333,0.64644934584715,44.0119963074772,45.2610745484793,46.5632781840036,TRUE,0.676775327076425,1.03689974850994,1.00967259725755,173.804553367004,2,"informative_wrong"
"recruit_mean_slope_20",0.4,0.4,0.5,-0.0955220541790789,0.432115703130888,-0.972033741077466,-0.101855577124818,0.77111191284481,TRUE,0.135768593738224,-1.14673466062164,1.00994383308225,188.512337424322,2,"informative_wrong"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.34826210331698,0.0245972355211384,1.29840200340315,1.34994257106685,1.39389880851424,FALSE,0.877013822394308,3.88251495740426,1.04498457242455,115.279121863963,2,"informative_wrong"
"survival_at_80",0.36,1.11,0.3,0.386769420165705,0.0359003287936277,0.320859144934569,0.385430216937005,0.456950891821957,TRUE,0.880332237354574,0.745659470685883,1.00811319336871,288.584814067544,4,"informative_wrong"
"survival_slope_20",0.64,0.64,0.2,0.636128536595381,0.0268493316590267,0.586025819143014,0.635442499512517,0.690394721501976,TRUE,0.865753341704867,-0.144192170359578,1.01059856219034,274.313988111707,4,"informative_wrong"
"growth_increment_80",8.4,5.4,2,7.83493652550259,0.297269730262072,7.23658243172265,7.83266992136276,8.4031083538413,TRUE,0.851365134868964,-1.90084430728703,1.0022221433614,299.228431032058,4,"informative_wrong"
"growth_slope_20",-2.4,-2.4,1,-2.31914566098781,0.121745114637989,-2.55701972410358,-2.31722259326992,-2.07423686699171,TRUE,0.878254885362011,0.66412799604002,1.01413126017739,365.98565378975,4,"informative_wrong"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.55706868137829,0.0684478620729827,1.4157194295024,1.5574786586711,1.68058052644922,TRUE,0.657760689635087,0.7741846567175,1.00490575836522,368.533796348489,4,"informative_wrong"
"log_recruitment_at_80",-1.69314718055995,-0.943147180559945,0.3,-1.55108717125578,0.119951631635668,-1.78788075873077,-1.54730862957855,-1.3268299021842,TRUE,0.600161227881108,1.18431077065836,1.00401332803749,374.506984561352,4,"informative_wrong"
"recruitment_slope_20",1.5,1.5,0.3,1.48162595002619,0.0725103207388648,1.34089660617881,1.48363191969169,1.6164886867381,TRUE,0.758298930870451,-0.25339909941893,1.00550757516578,391.182066517174,4,"informative_wrong"
"recruit_mean_80",44.6,44.6,2,44.2535914074037,0.44741347945469,43.3390869000081,44.2762821511309,45.0560374507926,TRUE,0.776293260272655,-0.774247108107971,1.00863455413857,337.930281351918,4,"informative_wrong"
"recruit_mean_slope_20",0.4,0.4,0.5,0.581203843079694,0.230078727340521,0.166499766693609,0.577145462421747,1.04419945217286,TRUE,0.539842545318959,0.787573215369492,1.00764622306701,350.51634726114,4,"informative_wrong"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.3320350606312,0.020888390640787,1.28552432275922,1.33326236572191,1.3681431228259,FALSE,0.895558046796065,3.79503110120166,1.01082209294883,289.510544495613,4,"informative_wrong"
"survival_at_80",0.36,1.11,0.3,0.363120297314831,0.0235754565636029,0.318580851337227,0.362243484461033,0.410997147298873,TRUE,0.92141514478799,0.132353632533611,1.01160142661773,208.280977425137,8,"informative_wrong"
"survival_slope_20",0.64,0.64,0.2,0.606030767846677,0.0135159450572734,0.579041043515825,0.6057978689876,0.632269930074998,FALSE,0.932420274713633,-2.51327095585097,1.00680182973763,323.502514309844,8,"informative_wrong"
"growth_increment_80",8.4,5.4,2,8.00406753957182,0.197098146561522,7.62275458867879,8.0021552524466,8.39496015836109,FALSE,0.901450926719239,-2.00880864348762,1.0079438310565,264.228176071372,8,"informative_wrong"
"growth_slope_20",-2.4,-2.4,1,-2.34978297944558,0.0738768685137758,-2.48806949171,-2.35298524280753,-2.19952027266508,TRUE,0.926123131486224,0.679739430821398,1.02694924997349,252.993543982675,8,"informative_wrong"
"log_growth_sd",1.50407739677627,1.50407739677627,0.2,1.60430228547605,0.0449378166810192,1.51371842353651,1.60654617727208,1.6903942805085,FALSE,0.775310916594904,2.23030169469952,1.01222577224339,333.82670759128,8,"informative_wrong"
"log_recruitment_at_80",-1.69314718055995,-0.943147180559945,0.3,-1.44491617767676,0.0767584144848414,-1.58906876525627,-1.44326045389621,-1.29184682018263,FALSE,0.744138618383862,3.23392561648351,1.00602478879227,264.791542574559,8,"informative_wrong"
"recruitment_slope_20",1.5,1.5,0.3,1.4260865271895,0.0450675740317807,1.33813832705729,1.4255757485215,1.51026972936159,TRUE,0.849774753227398,-1.64005883161979,1.00763017307301,248.580094685813,8,"informative_wrong"
"recruit_mean_80",44.6,44.6,2,44.5079395371568,0.242037162383481,44.0353630613294,44.5083642378343,44.9768631376789,TRUE,0.878981418808259,-0.38035672677944,1.00992133142683,293.368535721319,8,"informative_wrong"
"recruit_mean_slope_20",0.4,0.4,0.5,0.45178449092495,0.107730858108004,0.243223099964491,0.454047329071756,0.664997072672943,TRUE,0.784538283783991,0.480683917629558,1.01339985854854,337.875473809194,8,"informative_wrong"
"log_recruit_sd",1.25276296849537,1.25276296849537,0.2,1.32455682888494,0.0114341316120802,1.30177456307132,1.3245269507705,1.34753704638208,FALSE,0.942829341939599,6.27890799452766,1.00392590127458,344.426681937568,8,"informative_wrong"
