"quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","transitions","prior_regime"
"survival_80",0.589040434058665,0.582910257736489,0.0156119681232658,0.554881534590417,0.58253076874512,0.61417705566515,TRUE,2,"informative"
"survival_110",0.789181706522253,0.786013958708642,0.0212867009259004,0.744544209210861,0.78611051499784,0.825984336405429,TRUE,2,"informative"
"growth_increment_50",12,11.9512916859471,0.733407506994766,10.4034116425086,12.0077065527188,13.2561951895522,TRUE,2,"informative"
"growth_increment_80",8.4,8.16814709537428,0.522982802509164,7.08026611645663,8.18630318958006,9.12517333254862,TRUE,2,"informative"
"growth_increment_110",4.8,4.38500250480151,0.479004755870882,3.44076237784358,4.39248558970081,5.34192390719984,TRUE,2,"informative"
"growth_sd.log_growth_sd",4.5,4.7715701555234,0.486395069913651,3.89153558745419,4.74287648773908,5.80287316205972,TRUE,2,"informative"
"recruitment_50",0.019387103915861,0.0206182893488599,0.00833056686512921,0.00815897223036688,0.019227790070566,0.0395932750251631,TRUE,2,"informative"
"recruitment_80",0.183939720585721,0.19610050704662,0.0408839848533787,0.122299014943876,0.193547677260937,0.278974795649759,TRUE,2,"informative"
"recruitment_110",1.74517147873092,1.93480957678635,0.0701749094234452,1.79084629682365,1.93518904606383,2.07142866848214,FALSE,2,"informative"
"recruit_mean_50",44,45.2905573670992,1.32580258714787,42.6962199256228,45.2838612654387,47.9239324673699,TRUE,2,"informative"
"recruit_mean_80",44.6,45.2312910755638,0.706637990612019,43.834668634117,45.2288108692701,46.6108862700333,TRUE,2,"informative"
"recruit_mean_110",45.2,45.1720247840285,0.153017303337159,44.8544998430237,45.1706698120483,45.4622063678227,TRUE,2,"informative"
"recruit_sd.log_recruit_sd",3.5,3.88447057249558,0.0980049666743728,3.68866817541928,3.88557344356544,4.0701039535388,FALSE,2,"informative"
"lambda",1.0294523184952,1.01739589821666,0.0150427132937868,0.988540980078339,1.01741001150369,1.04628992928705,TRUE,2,"informative"
"survival_50",0.354343693774205,0.36071738060295,0.00897801709436237,0.343813531093618,0.360473994760452,0.378004294301209,TRUE,4,"informative"
"survival_80",0.589040434058665,0.590767003534001,0.00826885765909437,0.575204518178072,0.590770573690545,0.607652120476102,TRUE,4,"informative"
"survival_110",0.789181706522253,0.786820278296887,0.0103261798113772,0.767253513712484,0.787034892489289,0.805687511951807,TRUE,4,"informative"
"growth_increment_50",12,11.4876698338675,0.432818801272846,10.6103532493681,11.4995473721331,12.312843330778,TRUE,4,"informative"
"growth_increment_80",8.4,7.92783696119928,0.302213199464547,7.29597349293793,7.93433711177273,8.47266006813531,TRUE,4,"informative"
"growth_increment_110",4.8,4.36800408853105,0.253201339296744,3.84458928002022,4.3750203060127,4.86405920312078,TRUE,4,"informative"
"growth_sd.log_growth_sd",4.5,4.65956686760776,0.357881590982647,3.97438801530238,4.64527849862518,5.3699728783798,TRUE,4,"informative"
"recruitment_50",0.019387103915861,0.0180887310936498,0.00481178387490313,0.00963651838512188,0.0178260765112134,0.0286485179886432,TRUE,4,"informative"
"recruitment_80",0.183939720585721,0.185018406927432,0.0266756919663802,0.131274547694862,0.18552527914145,0.239271947460591,TRUE,4,"informative"
"recruitment_110",1.74517147873092,1.92183399813822,0.0613832401372287,1.79178676939296,1.92662687793792,2.03459616944192,FALSE,4,"informative"
"recruit_mean_50",44,43.2631709613699,0.835284629137314,41.6287509531172,43.2616054856125,44.8853871944545,TRUE,4,"informative"
"recruit_mean_80",44.6,44.1768144234684,0.47945432008734,43.2270137301797,44.1916048538056,45.0993726170285,TRUE,4,"informative"
"recruit_mean_110",45.2,45.0904578855673,0.143332627282267,44.7892188774192,45.0980343850004,45.3559280252148,TRUE,4,"informative"
"recruit_sd.log_recruit_sd",3.5,3.80192583453641,0.0745479159416702,3.64526675021475,3.80359421260406,3.94490113911799,FALSE,4,"informative"
"lambda",1.0294523184952,1.0230791512895,0.00629008436139366,1.01039627103612,1.02304953190282,1.03459215040971,TRUE,4,"informative"
"survival_50",0.354343693774205,0.365185713695157,0.00636830113704027,0.353174586044458,0.365160722483987,0.377697657420029,TRUE,8,"informative"
"survival_80",0.589040434058665,0.587221104411997,0.00538021334780287,0.576251428983201,0.587162115466548,0.597337762020115,TRUE,8,"informative"
"survival_110",0.789181706522253,0.778649085472825,0.00547459955741384,0.767911795461849,0.77862819387609,0.789369210186118,TRUE,8,"informative"
"growth_increment_50",12,11.6479583921006,0.254204212446384,11.158984067411,11.6504816772366,12.1370149378361,TRUE,8,"informative"
"growth_increment_80",8.4,8.0732538245746,0.176695510100373,7.72880429222118,8.07138741146632,8.41748275500583,TRUE,8,"informative"
