"parameter","truth","prior_mean","prior_sd","posterior_mean","posterior_sd","q025","median","q975","covers_truth","contraction","standardized_bias","rhat","ess","design","process_model"
"survival_at_80",0.36,0.405465108108164,1.5,0.389030631822337,0.0278349686314083,0.336915510011848,0.388937012982463,0.443954479068368,TRUE,0.981443354245728,1.04295543518521,1.0084743571581,391.986107978089,"six_by_two","poisson"
"survival_slope_20",0.64,0.5,1,0.659909629771462,0.0224900457349109,0.616934585367487,0.659708240830664,0.704133606943907,TRUE,0.977509954265089,0.885264085548579,1.00685324697453,348.51058410261,"six_by_two","poisson"
"growth_increment_80",8.4,8,6,8.3066915603363,0.205014003528298,7.88359791535708,8.30674811338596,8.69688402441331,TRUE,0.96583099941195,-0.455132030289923,1.01744744517382,339.375294221075,"six_by_two","poisson"
"growth_slope_20",-2.4,-2,3,-2.29804675437549,0.0861421035053739,-2.45431548111024,-2.30295656927626,-2.12165081401386,TRUE,0.971285965498209,1.18354720253783,1.01402872563027,341.801490943569,"six_by_two","poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.54962866652589,0.0476904888101296,1.45448034234952,1.55010098811784,1.63907257270062,TRUE,0.931870730271243,0.955143696072631,1.01156632528457,370.337435464335,"six_by_two","poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.34196738391102,0.082284448665982,-1.51417231324691,-1.34002915634438,-1.18902722116635,FALSE,0.945143700889345,4.26787567204192,1.01105802090824,260.597974282042,"six_by_two","poisson"
"recruitment_slope_20",1.5,1,1,1.27536942754347,0.0638934583651235,1.14964721274604,1.27633876403513,1.40097733165985,FALSE,0.936106541634876,-3.51570533516696,1.01263906458503,249.211311958722,"six_by_two","poisson"
"recruit_mean_80",44.6,45,10,44.8344973323902,0.308917357094462,44.1630169700067,44.8335230871704,45.4391498924119,TRUE,0.969108264290554,0.759094065143563,1.01180039150194,284.691181421824,"six_by_two","poisson"
"recruit_mean_slope_20",0.4,0,2,0.294849701164459,0.224892033666704,-0.146627501853275,0.294338405558594,0.759000065351153,TRUE,0.887553983166648,-0.467559019860066,1.01014456229008,304.771487148164,"six_by_two","poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24442921897629,0.0145320476313586,1.21113676655178,1.24597587514958,1.26971793689644,TRUE,0.979239931955202,-0.573473864831809,1.01116896081036,237.835051702153,"six_by_two","poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.385100090538047,0.0309932615043891,0.327988799145361,0.383760801569778,0.448732123800964,TRUE,0.979337825663741,0.809856379087189,1.00780954464237,316.191435692148,"six_by_two","gamma_poisson"
"survival_slope_20",0.64,0.5,1,0.657075444392755,0.0252456419763393,0.611197081995871,0.656386571527814,0.708946875682181,TRUE,0.974754358023661,0.676371961891828,1.00931341877913,319.086117780722,"six_by_two","gamma_poisson"
"growth_increment_80",8.4,8,6,8.26388195409576,0.21946542177793,7.83432827099085,8.26504164886807,8.69979024844136,TRUE,0.963422429703678,-0.62022547698641,1.00298741586666,253.924040406199,"six_by_two","gamma_poisson"
"growth_slope_20",-2.4,-2,3,-2.32033246885235,0.0988248915424935,-2.51564525515325,-2.32033554559273,-2.12076552706615,TRUE,0.967058369485835,0.806148429855836,1.02660654497637,208.57181046823,"six_by_two","gamma_poisson"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.55377862705745,0.0526180782182508,1.44977179856632,1.55409628514185,1.65596883809941,TRUE,0.92483131683107,0.944565669521895,1.00768265851482,330.396898345598,"six_by_two","gamma_poisson"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.36333288603629,0.110571871520486,-1.59802619562634,-1.35777221819444,-1.15875699238895,FALSE,0.926285418986342,2.9828046680258,1.02316383431456,218.139876712087,"six_by_two","gamma_poisson"
"recruitment_slope_20",1.5,1,1,1.29186124551496,0.0834020493197708,1.13027728948857,1.2916159844183,1.46138120793292,FALSE,0.916597950680229,-2.49560719649724,1.0213545349206,223.110044995695,"six_by_two","gamma_poisson"
"recruit_mean_80",44.6,45,10,44.8852892180094,0.409825503073235,44.0476530934881,44.8894854617255,45.6761591235439,TRUE,0.959017449692676,0.696123632790213,1.01444149005823,212.517899834723,"six_by_two","gamma_poisson"
"recruit_mean_slope_20",0.4,0,2,0.243872685624378,0.295854354393208,-0.323477470714848,0.240997815743147,0.824825101382908,TRUE,0.852072822803396,-0.527716804087053,1.01408712430107,216.655900881514,"six_by_two","gamma_poisson"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24560523582516,0.0175830830805884,1.20794657722751,1.24626325914951,1.27833302608101,TRUE,0.974881309884874,-0.407080637530867,1.00965103825578,190.886921071621,"six_by_two","gamma_poisson"
"log_process_precision",NA,3.91202300542815,2,5.81201581971872,0.35125559752337,5.19672568051778,5.77626875654787,6.58991972219522,NA,0.824372201238315,NA,1.01602039825561,343.271787607513,"six_by_two","gamma_poisson"
"survival_at_80",0.36,0.405465108108164,1.5,0.384182861414566,0.0404780833610192,0.307313126235488,0.381432206351074,0.473029066710754,TRUE,0.973014611092654,0.59743098997257,1.01688045061706,174.054964741997,"six_by_two","correlated_log_gaussian"
"survival_slope_20",0.64,0.5,1,0.65350024333096,0.0286732213926599,0.59955087902073,0.652343784925889,0.713352826854535,TRUE,0.97132677860734,0.470831063802814,1.0134715386871,178.776513711867,"six_by_two","correlated_log_gaussian"
"growth_increment_80",8.4,8,6,8.26015684895774,0.209174832786919,7.83678014993153,8.26215452891277,8.67489198393989,TRUE,0.965137527868847,-0.668546732793201,1.00354292377649,406.900811624472,"six_by_two","correlated_log_gaussian"
"growth_slope_20",-2.4,-2,3,-2.31859120484661,0.0917616770061385,-2.4876998783522,-2.32166513667713,-2.13118314838639,TRUE,0.969412774331287,0.887176409689437,1.0035220894821,409.997607335028,"six_by_two","correlated_log_gaussian"
"log_growth_sd",1.50407739677627,1.6094379124341,0.7,1.55218235685192,0.0498701885379294,1.4523828433965,1.55319382199886,1.64529179143245,TRUE,0.928756873517244,0.964603533412802,1.00967333343759,413.606861459738,"six_by_two","correlated_log_gaussian"
"log_recruitment_at_80",-1.69314718055995,-1.6094379124341,1.5,-1.39356030442187,0.113537173231782,-1.61231860122008,-1.39240894798825,-1.18442914878165,FALSE,0.924308551178812,2.63866773859585,1.02907094163795,163.303566686703,"six_by_two","correlated_log_gaussian"
"recruitment_slope_20",1.5,1,1,1.31508098357352,0.0845709594535454,1.15037739758982,1.31557684591863,1.47585049976517,FALSE,0.915429040546455,-2.18655455278421,1.02507324802642,161.833100574897,"six_by_two","correlated_log_gaussian"
"recruit_mean_80",44.6,45,10,44.7545949325563,0.352347633363642,44.0583542137177,44.7632037095264,45.4181169667925,TRUE,0.964765236663636,0.438756835346146,1.01172150365801,287.426430913007,"six_by_two","correlated_log_gaussian"
"recruit_mean_slope_20",0.4,0,2,0.340243907994783,0.250249369798222,-0.133929349089602,0.342929695181606,0.825489635921036,TRUE,0.874875315100889,-0.238786183771009,1.01145076714107,293.113012086031,"six_by_two","correlated_log_gaussian"
"log_recruit_sd",1.25276296849537,1.38629436111989,0.7,1.24317739241866,0.0166368652459804,1.20492466555444,1.24464091261185,1.27213970935589,TRUE,0.9762330496486,-0.576164796371455,1.0104686196371,271.992557260507,"six_by_two","correlated_log_gaussian"
"log_process_sd",NA,-2.30258509299405,1,-3.85494027190011,0.220539831182862,-4.30925201125433,-3.84293834110362,-3.44975944340665,NA,0.779460168817138,NA,1.0051725058681,553.790324510062,"six_by_two","correlated_log_gaussian"
