"scenario","method","group","n","coverage","bias","rmse","mean_posterior_sd","mean_abs_standardized_bias","mean_contraction"
"longer_followup","one_step_gamma_poisson","recruit_size",30,1,0.041260309391046,0.524464860246155,0.548926934927707,0.7128962776897,0.845295328697122
"standard","one_step_gamma_poisson","recruit_size",30,0.933333333333333,0.0238084653229606,0.512723044362902,0.64052535971658,0.739337108338376,0.805399182468091
"dense_profiles","one_step_poisson","recruit_size",27,1,0.0302230591406533,0.231536390242626,0.316493032667809,0.58223877664399,0.915013484562891
"diverse_initial","one_step_poisson","recruit_size",30,0.966666666666667,0.0351854908694549,0.46748170354186,0.408610477875178,0.772147781598543,0.892141288478348
"longer_followup","one_step_poisson","recruit_size",24,0.791666666666667,-0.0277330216279954,0.355229732278568,0.327846817555915,1.18069769331893,0.900552816302777
"standard","one_step_poisson","recruit_size",30,0.933333333333333,-0.0164040907668956,0.448216740693907,0.58650518368249,0.807777866791686,0.824544348708812
"dense_profiles","one_step_shared_gamma_poisson","recruit_size",27,1,0.0246698877095847,0.296972265846989,0.308246042166284,0.762423254917211,0.91745657259035
"diverse_initial","one_step_shared_gamma_poisson","recruit_size",27,0.962962962962963,0.0513784807335574,0.462708871027179,0.426255603664466,0.648224948146947,0.888293344928095
"longer_followup","one_step_shared_gamma_poisson","recruit_size",30,0.933333333333333,0.0274927072561019,0.306361467035732,0.25229863134163,0.962563445955012,0.920230918135905
"standard","one_step_shared_gamma_poisson","recruit_size",30,0.9,-0.0490813271737647,0.494753489653143,0.481064079349352,0.905653538814145,0.847611555634317
"dense_profiles","recursive_gamma_poisson","recruit_size",30,1,-0.00357972395237178,0.332387072492145,0.449141125999566,0.549881889484186,0.882612595702444
"diverse_initial","recursive_gamma_poisson","recruit_size",30,0.933333333333333,0.051905232167723,0.539812235944782,0.403483860997606,0.849619603632488,0.892684467194816
"longer_followup","recursive_gamma_poisson","recruit_size",30,0.933333333333333,0.190426201462099,0.834210208100214,0.507161336203052,0.831498344366232,0.864935906299719
"standard","recursive_gamma_poisson","recruit_size",30,0.933333333333333,0.00311550598465788,0.560460406973792,0.57192741575479,0.896596013753606,0.837830330952632
