"scenario_id","design","initial_n","profile_detection","parameter","posterior_mean_mcmc","posterior_mean_laplace","posterior_sd_mcmc","posterior_sd_laplace","mean_difference_in_mcmc_sd","sd_ratio_laplace_to_mcmc","coverage_mcmc","coverage_laplace","max_rhat","min_ess"
10,"one_by_twelve",2500,1,"survival_at_80",0.376144316555109,0.376847685137207,0.0158585682459933,0.0151695635603997,0.0443525904223067,0.956553159471526,TRUE,TRUE,1.0317630943972,289.738285917589
10,"one_by_twelve",2500,1,"survival_slope_20",0.666304721036377,0.666720300581432,0.00912557972724094,0.00866379741943335,0.0455400706011405,0.949396934593742,FALSE,FALSE,1.0317630943972,289.738285917589
11,"three_by_four",2500,1,"growth_increment_80",8.47839674377575,8.50352846506635,0.170801618544667,0.166215541783462,0.147139831019975,0.973149687922862,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"growth_slope_20",-2.41002894084349,-2.41158897574792,0.0629697401717076,0.0628309010309042,-0.0247743582897872,0.997795145089931,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"log_growth_sd",1.47829579446214,1.47227573734275,0.0475535368897218,0.0478890308396375,-0.126595359948581,1.00705507879874,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"log_recruit_sd",1.23154646973616,1.23280737350595,0.0118999008252276,0.012044138352333,0.105959183047826,1.01212090161286,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"log_recruitment_at_80",-1.55073554752279,-1.54587871634472,0.0800577968582153,0.0759062363909017,0.0606665605183458,0.948142958834277,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"recruit_mean_80",44.5939845032224,44.5964872559202,0.271029984645935,0.260444269270035,0.00923422809116395,0.960942641126111,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"recruit_mean_slope_20",0.414268286578595,0.415199293361427,0.143140519617505,0.137530093517009,0.00650414561383303,0.960804766424714,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"recruitment_slope_20",1.42353691943085,1.42055734511068,0.0489461657602641,0.0472143494130452,-0.0608745194621092,0.964617936454894,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"survival_at_80",0.37787191363484,0.377785084442369,0.0211322830606489,0.0191264583094602,-0.00410884106659717,0.905082439723521,TRUE,TRUE,1.02521700172221,158.026633482311
11,"three_by_four",2500,1,"survival_slope_20",0.66050834164607,0.661317958092661,0.0156322748955427,0.0140335083764319,0.0517913388807262,0.897726560606565,TRUE,TRUE,1.02521700172221,158.026633482311
12,"six_by_two",2500,1,"growth_increment_80",8.61229165585879,8.61149054330554,0.174320091865308,0.180877037078904,-0.00459564095385826,1.03761439741933,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"growth_slope_20",-2.33836307503458,-2.34869107495898,0.0834251361692582,0.0863647233042598,-0.123799617221404,1.03523622819192,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"log_growth_sd",1.43996224706912,1.43983755129783,0.0526891891159827,0.0511675630951361,-0.00236662915822363,0.971120716671174,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"log_recruit_sd",1.26993327299546,1.27425853635792,0.0152365271337798,0.0140827656942284,0.283874620802756,0.924276613074544,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"log_recruitment_at_80",-1.55232008970932,-1.53089160519228,0.10391442218266,0.0970403611435273,0.206212805373388,0.933848825843929,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"recruit_mean_80",44.7999247461936,44.8480677023164,0.385348629702324,0.376668839300065,0.124933508028672,0.977475486525114,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"recruit_mean_slope_20",0.329120735717724,0.304327350086042,0.255081340720404,0.252968675877621,-0.0971979587439065,0.991717681752743,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"recruitment_slope_20",1.38938604054923,1.37798497099223,0.0731439805963744,0.0686777697728879,-0.155871603706031,0.938939461770175,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"survival_at_80",0.356794600187023,0.356744449297898,0.0248058324777339,0.0259921577256818,-0.00202173779775537,1.04782444810158,TRUE,TRUE,1.01935501882116,251.440161575215
12,"six_by_two",2500,1,"survival_slope_20",0.643507465866274,0.645524409264083,0.0203487391631213,0.022727443007323,0.0991188388450536,1.11689686644137,TRUE,TRUE,1.01935501882116,251.440161575215
