"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","positive_definite","condition_number","quantity","truth","posterior_mean","posterior_sd","q025","median","q975","covers_truth","standardized_bias"
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"growth_increment_80",8.4,8.5317717005019,0.205779974003859,8.12700737000458,8.53966771215596,8.92634390924227,TRUE,0.640352401344124
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"growth_slope_20",-2.4,-2.30238391898962,0.0828110405182441,-2.46632289473025,-2.30075117214152,-2.14012590742623,TRUE,1.17878099827613
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"log_growth_sd",1.50407739677627,1.49929478079577,0.0519655161382155,1.40334364328188,1.49693824511999,1.61558855303494,TRUE,-0.0920344169734252
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"log_recruitment_at_80",-1.69314718055995,-1.61818871130566,0.11348778756641,-1.84421099996266,-1.6234077574907,-1.40500279538523,TRUE,0.660498110516286
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"recruitment_slope_20",1.5,1.40840893330855,0.0743235197049141,1.27202207452914,1.41094842561994,1.54788005637163,TRUE,-1.23232951096903
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"recruit_mean_80",44.6,44.7595529586373,0.394477333219339,44.0057783437829,44.7359509296734,45.5343708846588,TRUE,0.404466734083783
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"recruit_mean_slope_20",0.4,0.306255870559979,0.248420962290546,-0.189442911109792,0.328397887815698,0.779228293865019,TRUE,-0.377359980315915
108,"six_by_two",6,2,2500,1,"baseline",5,"poisson",FALSE,NA,TRUE,8078.68409794791,"log_recruit_sd",1.25276296849537,1.24165563984985,0.0140538804245013,1.21299220764857,1.24181467798016,1.2690556546347,TRUE,-0.790338917794549
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"survival_at_80",0.36,0.3368142099597,0.029569773502338,0.279309944562519,0.338367024230442,0.392495750138792,TRUE,-0.784104417927529
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"survival_slope_20",0.64,0.608954350978087,0.0242952111062294,0.560387830510068,0.609262023453383,0.651608400130668,TRUE,-1.27785055606915
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"growth_increment_80",8.4,8.50724676174937,0.240935718974659,8.02288495575608,8.49827745177459,8.98279511702776,TRUE,0.445126036960302
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"growth_slope_20",-2.4,-2.31857849651785,0.095604189452895,-2.50160808304922,-2.31544876470398,-2.12699852347412,TRUE,0.851652045251292
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"log_growth_sd",1.50407739677627,1.49640346165219,0.0585233937798346,1.38801928668095,1.49448718203637,1.61449585164091,TRUE,-0.131125941755042
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"log_recruitment_at_80",-1.69314718055995,-1.63511024475418,0.147997518303063,-1.91824191733175,-1.64008120791578,-1.33332136652748,TRUE,0.392148033772579
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"recruitment_slope_20",1.5,1.42011750309024,0.0952502895182296,1.22967374251376,1.42228083239916,1.60354593807355,TRUE,-0.838658835724283
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"recruit_mean_80",44.6,44.7724159776117,0.533301394893066,43.7001961933538,44.7454288622103,45.8389075079263,TRUE,0.323299318664367
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"recruit_mean_slope_20",0.4,0.300132688529059,0.331506518387016,-0.360435103739178,0.306738220176035,0.961843218951811,TRUE,-0.30125293450294
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"log_recruit_sd",1.25276296849537,1.2459889329867,0.0184571933085868,1.2102747574878,1.24624710170147,1.28422595518314,TRUE,-0.367013304537486
108,"six_by_two",6,2,2500,1,"baseline",5,"gamma_poisson",FALSE,NA,TRUE,7057.92284503349,"log_process_precision",NA,5.45605510380663,0.286437177024639,4.90364160293571,5.44274235945779,5.9996766211198,NA,NA
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"survival_at_80",0.36,0.0526301315572776,0.0892211574022072,-0.121008721802997,0.0500826502670126,0.226305210710966,FALSE,-3.44503341351093
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"survival_slope_20",0.64,0.334793180364081,0.0523171470092409,0.236522370547571,0.335999261251552,0.429079827917587,FALSE,-5.83378179207688
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"growth_increment_80",8.4,10.3882374874731,0.880613308972753,8.53344481935598,10.3689622849017,12.1131574575505,FALSE,2.25778723443594
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"growth_slope_20",-2.4,-1.63359817851805,0.334612296680007,-2.2596609220508,-1.62138706274322,-1.00134896527056,FALSE,2.29041738479465
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"log_growth_sd",1.50407739677627,1.56729327094757,0.222511292804876,1.07912049175581,1.57389028755937,1.99379147131061,TRUE,0.28410186905314
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"log_recruitment_at_80",-1.69314718055995,-1.30065668395298,0.264717142994665,-1.83993873097287,-1.27872651537844,-0.836277632837054,TRUE,1.4826788026149
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"recruitment_slope_20",1.5,1.49159281728276,0.166148549518124,1.16547267949252,1.48816939251108,1.83026918065113,TRUE,-0.0506003979067224
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"recruit_mean_80",44.6,44.3124359161556,0.910480954210401,42.5099542703372,44.3464090746602,45.9682335164396,TRUE,-0.31583756092267
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"recruit_mean_slope_20",0.4,0.486788541436362,0.318827473660751,-0.0776370303676149,0.486038807062353,1.08894124876432,TRUE,0.272211614764133
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"poisson",FALSE,NA,TRUE,18040.4685727444,"log_recruit_sd",1.25276296849537,1.24519453740442,0.0657459496238281,1.11997461207661,1.24554415071628,1.37122987952261,TRUE,-0.115116309586452
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"gamma_poisson",FALSE,NA,TRUE,11721.310766071,"survival_at_80",0.36,0.0663773904001342,0.091428152882974,-0.106335027625507,0.0646133112377773,0.251803604001003,FALSE,-3.21151199429454
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"gamma_poisson",FALSE,NA,TRUE,11721.310766071,"survival_slope_20",0.64,0.376345860122093,0.0742349430584412,0.236303420615697,0.372044025572365,0.516445733581029,FALSE,-3.55161772900326
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"gamma_poisson",FALSE,NA,TRUE,11721.310766071,"growth_increment_80",8.4,10.2322429510194,0.849032128414272,8.54019868992082,10.2464614662835,11.7277105433622,FALSE,2.15803723993519
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"gamma_poisson",FALSE,NA,TRUE,11721.310766071,"growth_slope_20",-2.4,-1.91304478639774,0.400499907945228,-2.70298133695333,-1.89165313962557,-1.16363909646389,TRUE,1.21586847822412
109,"one_by_twelve",1,12,500,0.25,"cohort_pulse",5,"gamma_poisson",FALSE,NA,TRUE,11721.310766071,"log_growth_sd",1.50407739677627,1.53803326581693,0.209690006201278,1.09667734447001,1.53229309323907,1.95147320205839,TRUE,0.161933654616161
