"scenario_id","design","populations","transitions","initial_n","profile_detection","initial_profile","replicate","process_model","failed","error","process_model","convergence","positive_definite","condition_number","laplace_draws","parameter_coverage","derived_coverage","parameter_mean_abs_z","derived_mean_abs_z"
48,"six_by_two",6,2,2500,1,"cohort_pulse",2,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,2255.9510006814,500,0.7,0.666666666666667,1.57766036311563,1.45879848615282
49,"one_by_twelve",1,12,500,0.25,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,15777.1319630904,500,0.3,0.333333333333333,3.33613222144552,2.7506364700573
49,"one_by_twelve",1,12,500,0.25,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,8744.51255168634,500,0.6,0.466666666666667,2.68292482413953,2.25094331747532
50,"three_by_four",3,4,500,0.25,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,2691.91063496625,500,0.8,0.733333333333333,1.71910433901146,1.3139546411506
50,"three_by_four",3,4,500,0.25,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,3331.4581993169,500,0.8,0.733333333333333,1.56850237966735,1.21640112896822
51,"six_by_two",6,2,500,0.25,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,1956.02511995203,500,0.9,0.933333333333333,0.819745456992709,0.721180803238351
51,"six_by_two",6,2,500,0.25,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,1493.2844030137,500,0.9,0.933333333333333,0.827750412747801,0.716891472426193
52,"one_by_twelve",1,12,2500,0.25,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,22838.2551666665,500,0.9,0.866666666666667,1.26286220700859,1.22484249563288
52,"one_by_twelve",1,12,2500,0.25,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,40025.724416126,500,0.9,0.933333333333333,1.27882502256421,1.25447065492278
53,"three_by_four",3,4,2500,0.25,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,6873.29611582584,500,0.9,0.866666666666667,0.59515954799114,0.762962655062362
53,"three_by_four",3,4,2500,0.25,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5946.21734350345,500,0.9,0.933333333333333,0.551510166154512,0.738792261258416
54,"six_by_two",6,2,2500,0.25,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,3652.2951161817,500,0.9,0.733333333333333,1.03041213315967,1.39078607586293
54,"six_by_two",6,2,2500,0.25,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,8327.82396041603,500,0.9,0.8,1.01250022850532,1.35237749747146
55,"one_by_twelve",1,12,500,1,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,19451.7228790996,500,0.5,0.533333333333333,2.23014531716665,3.13969976732355
55,"one_by_twelve",1,12,500,1,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,13452.616449471,500,0.5,0.533333333333333,1.93883939741007,2.75060190402071
56,"three_by_four",3,4,500,1,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,17713.6024020318,500,0.7,0.8,1.29406538197315,1.71437056736343
56,"three_by_four",3,4,500,1,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,9851.45037232261,500,1,1,1.03836453356314,1.14368461889239
57,"six_by_two",6,2,500,1,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,6658.30273315979,500,0.8,0.8,1.30483297227609,1.52726574091965
57,"six_by_two",6,2,500,1,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,5459.16803040674,500,0.8,0.8,1.17203970946662,1.34310488872443
58,"one_by_twelve",1,12,2500,1,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,28726.9846848335,500,0.7,0.666666666666667,2.02798304284436,2.68923895609457
58,"one_by_twelve",1,12,2500,1,"baseline",3,"gamma_poisson",FALSE,NA,"gamma_poisson",0,TRUE,22689.9865175698,500,0.7,0.666666666666667,1.82788939891177,2.48913444917124
59,"three_by_four",3,4,2500,1,"baseline",3,"poisson",FALSE,NA,"poisson",0,TRUE,7459.585969306,500,1,0.933333333333333,0.53912479949016,0.545188466753781
