Location,year,Size
Salina,2004,69
Salina,2004,53
Salina,2004,74
Salina,2004,51
Salina,2004,55
Salina,2004,85
Salina,2004,85
Salina,2004,74
Salina,2004,74
Salina,2004,53
Salina,2004,92
Salina,2004,76
Salina,2004,79
Salina,2004,84
Salina,2004,81
Salina,2004,83
Salina,2004,55
Salina,2004,75
Salina,2004,73
Salina,2004,52
Salina,2004,53
Salina,2004,68
Salina,2004,50
Salina,2004,91
Salina,2004,79
Salina,2004,84
Salina,2004,46
Salina,2004,54
Salina,2004,50
Salina,2004,55
Salina,2004,83
Salina,2004,95
Salina,2004,48
Salina,2004,68
Salina,2004,74
Salina,2004,54
Salina,2004,53
Salina,2004,81
Salina,2004,55
Salina,2004,47
Salina,2004,50
Salina,2004,47
Salina,2004,51
Salina,2004,54
Salina,2004,89
Salina,2004,86
Salina,2004,76
Salina,2004,77
Salina,2004,53
Salina,2004,50
Salina,2004,80
Salina,2004,49
Salina,2004,85
Salina,2004,88
Salina,2004,84
Salina,2004,59
Salina,2004,53
Salina,2004,83
Salina,2004,87
Salina,2004,75
Salina,2004,105
Salina,2004,75
Salina,2004,74
Salina,2004,50
Salina,2004,50
Salina,2004,49
Salina,2004,50
Salina,2004,52
Salina,2004,74
Salina,2004,63
Salina,2004,49
Salina,2004,87
Salina,2004,47
Salina,2004,54
Salina,2004,55
Salina,2004,55
Salina,2004,79
Salina,2004,84
Salina,2004,85
Salina,2004,91
Salina,2004,87
Salina,2004,53
Salina,2004,50
Salina,2004,50
Salina,2004,71
Salina,2004,55
Salina,2004,78
Salina,2004,88
Salina,2004,76
Salina,2004,58
Salina,2004,76
Salina,2004,78
Salina,2004,92
Salina,2004,78
Salina,2004,45
Salina,2004,78
Salina,2004,80
Salina,2004,89
Salina,2004,84
Salina,2004,69
Salina,2004,89
Salina,2004,87
Salina,2004,50
Salina,2004,56
Salina,2004,55
Salina,2004,80
Salina,2004,57
Salina,2004,56
Salina,2004,59
Salina,2004,84
Salina,2004,84
Salina,2004,61
Salina,2004,49
Salina,2004,56
Salina,2004,78
Salina,2004,70
Salina,2004,57
Salina,2004,129
Salina,2004,75
Salina,2004,80
Salina,2004,47
Salina,2004,88
Salina,2004,57
Salina,2004,53
Salina,2004,54
Salina,2004,66
Salina,2004,58
Salina,2004,54
Salina,2004,54
Salina,2004,51
Salina,2004,75
Salina,2004,50
Salina,2004,77
Salina,2004,81
Salina,2004,80
Salina,2004,81
Salina,2004,85
Salina,2004,64
Salina,2004,78
Salina,2004,79
Salina,2004,78
Salina,2004,82
Salina,2004,85
Salina,2004,84
Salina,2004,82
Salina,2004,51
