"truth_name","borrowing","bias_multiplier","replicate","curve_rmse","coverage_at_80","width_at_80","robust_weight"
"baseline","full",1.5,7,0.136535794638487,FALSE,0.0803233710216782,NA
"baseline","full",1.5,8,0.1066931714806,FALSE,0.0936904605055823,NA
"baseline","full",1.5,9,0.15142722633232,FALSE,0.0794404959284364,NA
"baseline","none",NA,1,0.345782653016824,FALSE,0.21384130442622,NA
"baseline","none",NA,11,0.221124608523659,FALSE,0.344175579878074,NA
"baseline","none",NA,12,0.173920612707774,FALSE,0.264258472858624,NA
"baseline","none",NA,13,0.477145012347344,FALSE,0.112161789248118,NA
"baseline","none",NA,14,0.0556293352346911,TRUE,0.313939016369583,NA
"baseline","none",NA,15,1.04076283386575,TRUE,0.213464550923459,NA
"baseline","none",NA,16,0.14472005263413,FALSE,0.300390195731859,NA
"baseline","none",NA,17,0.177622148389342,FALSE,0.17962861994829,NA
"baseline","none",NA,18,0.0696663760514357,TRUE,0.452131698817946,NA
"baseline","none",NA,19,0.119456856279439,TRUE,0.2403201958828,NA
"baseline","none",NA,2,0.272586348416829,FALSE,0.230348664495878,NA
"baseline","none",NA,20,0.201783760225301,FALSE,0.125431517468669,NA
"baseline","none",NA,21,0.105087538664322,FALSE,0.276947488913141,NA
"baseline","none",NA,22,0.127903154058148,FALSE,0.22536679072646,NA
"baseline","none",NA,23,0.0377057450751545,TRUE,0.198297115250951,NA
"baseline","none",NA,24,0.130332728111963,TRUE,0.18288721601845,NA
"baseline","none",NA,25,0.128968136441108,TRUE,0.317529840849705,NA
"baseline","none",NA,26,0.231073206485918,FALSE,0.294299346788619,NA
"baseline","none",NA,27,0.198140301602009,TRUE,0.212180301816799,NA
"baseline","none",NA,28,0.105362132624608,TRUE,0.181862527365155,NA
"baseline","none",NA,29,0.146084773230414,TRUE,0.403999893900092,NA
"baseline","none",NA,3,0.401266894419414,TRUE,0.159715955760815,NA
"baseline","none",NA,30,0.259131056756096,FALSE,0.236575769911055,NA
"baseline","none",NA,4,0.242298121432464,FALSE,0.129423967788618,NA
"baseline","none",NA,5,0.111244253468467,FALSE,0.214189695267232,NA
"baseline","none",NA,6,0.0888301247160196,TRUE,0.586208784809588,NA
"baseline","none",NA,7,0.166683827763793,TRUE,0.254939240699031,NA
"baseline","none",NA,8,0.126533406663816,FALSE,0.259385986937599,NA
"baseline","none",NA,9,0.309633177173393,TRUE,0.24014995378843,NA
"baseline","robust",0,1,0.33821429713467,FALSE,0.216844399393974,0.00215013007220083
"baseline","robust",0,11,0.211075024348089,FALSE,0.449181371966603,0.0310054483473209
"baseline","robust",0,12,0.0813291754471719,TRUE,0.170924235171574,0.932424069266361
"baseline","robust",0,14,0.0368618951220472,TRUE,0.067948571097729,0.994048255767398
"baseline","robust",0,15,1.03992922791543,TRUE,0.226503438657374,3.92910392110302e-06
"baseline","robust",0,16,0.0316976474938025,TRUE,0.148157976781473,0.95929022669741
"baseline","robust",0,17,0.173971054570813,FALSE,0.189199795181594,0.0174977655414965
"baseline","robust",0,18,0.0347513221463505,TRUE,0.0839117478655029,0.956943936742463
"baseline","robust",0,19,0.0523006479281878,TRUE,0.0733730698570244,0.969116312247425
"baseline","robust",0,2,0.26840569370263,FALSE,0.232304239683538,0.00244898249934398
"baseline","robust",0,20,0.0695789764435468,TRUE,0.118278081587118,0.959300048998363
"baseline","robust",0,21,0.0554678637216216,TRUE,0.297704737861967,0.619216950325917
"baseline","robust",0,22,0.0811132162626223,TRUE,0.303526582686487,0.32377084536422
"baseline","robust",0,23,0.00946229555788032,TRUE,0.087020014169753,0.925244373861068
"baseline","robust",0,24,0.0492550799976452,TRUE,0.0668580904481085,0.992861730304886
"baseline","robust",0,25,0.107253501710478,TRUE,0.0726459479543609,0.994178681330964
"baseline","robust",0,26,0.236768811502836,FALSE,0.269255215273812,0.000299518961657523
"baseline","robust",0,27,0.151214009163931,TRUE,0.0728860914800623,0.944484120152019
"baseline","robust",0,28,0.0724514595960798,TRUE,0.0633500343036169,0.99469344387303
"baseline","robust",0,29,0.0839476838981245,TRUE,0.0628420904653406,0.991869336360063
"baseline","robust",0,3,0.393128863922315,TRUE,0.159282534268013,0.0622878385662282
"baseline","robust",0,30,0.152040325616766,TRUE,0.277982267987118,0.464496722587829
"baseline","robust",0,4,0.142062749186712,TRUE,0.0654817519706293,0.98290088133067
"baseline","robust",0,5,0.0430316019291522,FALSE,0.0724517794854884,0.99561086426078
"baseline","robust",0,6,0.0639426397428187,TRUE,0.0629033721421799,0.99412698686308
"baseline","robust",0,7,0.087762722172334,TRUE,0.196905968424817,0.660163870373586
"baseline","robust",0,8,0.0356045826036251,TRUE,0.284753080100217,0.82043761959208
"baseline","robust",0,9,0.231585408983062,TRUE,0.0869755349303511,0.955391543772718
"baseline","robust",0.25,1,0.280274348752439,FALSE,0.350484593193061,0.317227229597525
"baseline","robust",0.25,11,0.209611432987652,FALSE,0.463611406365069,0.0718764883485731
"baseline","robust",0.25,12,0.0704179394440369,TRUE,0.0983027277502733,0.966093630620044
"baseline","robust",0.25,13,0.471944889532969,FALSE,0.11025688028929,4.5430687264537e-06
"baseline","robust",0.25,14,0.0561842906148024,TRUE,0.0712615229598367,0.9878757886767
"baseline","robust",0.25,15,1.03828432043914,TRUE,0.252592710032572,1.46283882901409e-05
"baseline","robust",0.25,16,0.0655784564440218,TRUE,0.0956131252860914,0.981128976877413
"baseline","robust",0.25,17,0.135228264979467,FALSE,0.223656251804167,0.47618477115019
"baseline","robust",0.25,18,0.0487481104944236,FALSE,0.0825165799592754,0.993396497919311
"baseline","robust",0.25,19,0.0832121732589253,TRUE,0.0701771422460751,0.99443666566277
"baseline","robust",0.25,2,0.264826624306982,FALSE,0.238124347977279,0.011225810886373
